Dataset,Task,Test Condition,Bal Accuracy,Macro F1,ROC-AUC
UORED,Detection,Group_A,0.996875,0.9968652037617555,1.0
UORED,Detection,Group_B,0.978125,0.9776357827476039,0.9979882812499999
UORED,Detection,Group_C,0.865625,0.8391608391608392,0.79634765625
UORED,Detection,Group_D,0.928125,0.8795518207282913,0.9881249999999999
UORED,Detection,Group_E,1.0,1.0,1.0
UORED,Diagnosis,Group_A,0.6875,0.6754135318970788,0.8935820312499999
UORED,Diagnosis,Group_B,0.77125,0.7376075917190036,0.9489703125
UORED,Diagnosis,Group_C,0.48,0.4257496264978607,0.77183671875
UORED,Diagnosis,Group_D,0.7175,0.6816484626543378,0.8935062500000001
UORED,Diagnosis,Group_E,0.69875,0.6249377790443621,0.9192031249999999
